protocol,IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dost_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
0.0,0.0,142.0,3.0,17.0,2.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,110.0,2.0,27.0,5.0,4085.0,216.0,2854.0,-1.0,1.0
0.0,0.0,78.0,1.0,12.0,2.0,0.0,8.0,5.5,1.0,0.0,0.0,0.0,0.0,65.0,0.0,11.0,0.0,0.0,0.0,0.0,6751.0,182.0,189.0,10036.0,1.0
0.0,0.0,86.0,2.0,6.0,2.0,0.0,3.0,2.5,9.0,2.0,4.0,3.0,0.0,71.0,1.0,8.0,0.0,0.0,0.0,0.0,5167.0,1796.0,312.0,-1.0,1.0
0.0,0.0,110.0,1.0,14.0,2.0,0.0,10.0,6.5,96.0,5.0,72.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4274.0,423.0,109.0,-1.0,1.0
0.0,0.0,36.0,2.0,24.0,3.0,0.0,16.0,7.333333333333333,12.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2715.0,149.0,207.0,-1.0,0.0
0.0,0.0,84.0,2.0,12.0,2.0,0.0,8.0,5.5,16.0,2.0,7.0,6.5,0.0,52.0,1.0,7.0,4.0,1.0,1.0,0.0,4763.0,44.0,351.0,3076.0,1.0
0.0,0.0,87.0,1.0,9.0,2.0,0.0,5.0,4.0,11.0,2.0,6.0,4.0,0.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,2584.0,26.0,338.0,-1.0,1.0
0.0,0.0,85.0,1.0,12.0,2.0,0.0,8.0,5.5,19.0,4.0,6.0,3.5,0.0,54.0,0.0,9.0,0.0,0.0,0.0,0.0,5710.0,2446.0,864.0,33301.0,1.0
0.0,0.0,91.0,2.0,12.0,3.0,0.0,5.0,3.3333333333333335,4.0,1.0,2.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.0,203.0,1.0,-1.0,1.0
0.0,0.0,96.0,2.0,13.0,2.0,0.0,9.0,6.0,5.0,1.0,3.0,3.0,0.0,5.0,1.0,0.0,73.0,4.0,8.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,0.0,127.0,1.0,11.0,2.0,0.0,8.0,5.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,110.0,1.0,3.0,3.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,97.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,72.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,86.0,1.0,7.0,2.0,0.0,3.0,3.0,17.0,2.0,8.0,7.0,0.0,62.0,0.0,10.0,0.0,0.0,0.0,0.0,9695.0,407.0,1992.0,981081226.0,1.0
0.0,0.0,105.0,2.0,10.0,2.0,0.0,7.0,4.5,1.0,0.0,0.0,0.0,0.0,94.0,1.0,12.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,83.0,1.0,17.0,2.0,0.0,13.0,8.0,66.0,4.0,53.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7505.0,229.0,166.0,-1.0,1.0
0.0,0.0,82.0,1.0,17.0,2.0,0.0,13.0,8.0,65.0,4.0,52.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7505.0,229.0,166.0,-1.0,1.0
0.0,0.0,55.0,3.0,22.0,3.0,1.0,13.0,6.666666666666667,13.0,1.0,11.0,11.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3400.0,120.0,253.0,85260.0,0.0
0.0,0.0,62.0,2.0,22.0,3.0,0.0,14.0,6.666666666666667,40.0,1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8020.0,1642.0,745.0,-1.0,0.0
0.0,0.0,233.0,31.0,12.0,2.0,0.0,8.0,5.5,9.0,1.0,7.0,7.0,0.0,48.0,1.0,0.0,164.0,1.0,5.0,0.0,3275.0,359.0,13.0,-1.0,1.0
0.0,0.0,93.0,1.0,8.0,2.0,0.0,4.0,3.5,85.0,3.0,75.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9041.0,701.0,455.0,-1.0,1.0
0.0,0.0,92.0,1.0,12.0,2.0,0.0,8.0,5.5,5.0,1.0,3.0,3.0,0.0,75.0,0.0,14.0,0.0,0.0,0.0,0.0,5467.0,922.0,377.0,981081226.0,1.0
0.0,0.0,99.0,1.0,21.0,2.0,0.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,9.0,7.0,1.0,4.0,0.0,3290.0,1817.0,728.0,85260.0,1.0
0.0,0.0,77.0,1.0,13.0,2.0,0.0,9.0,6.0,18.0,2.0,9.0,7.5,0.0,46.0,0.0,6.0,0.0,0.0,0.0,0.0,8933.0,99.0,292.0,10038.0,1.0
